,Md,d,xsec
0,1.0,2.0,0.84
1,1.0,3.0,1.04
2,1.0,4.0,1.42
3,1.0,5.0,2.21
4,1.0,6.0,3.96
5,1.0,7.0,8.55
6,1.1,2.0,0.654
7,1.1,3.0,0.795
8,1.1,4.0,1.06
9,1.1,5.0,1.6
10,1.1,6.0,2.67
11,1.1,7.0,5.24
12,1.2,2.0,0.515
13,1.2,3.0,0.606
14,1.2,4.0,0.792
15,1.2,5.0,1.14
16,1.2,6.0,1.81
17,1.2,7.0,3.34
18,1.3,2.0,0.405
19,1.3,3.0,0.474
20,1.3,4.0,0.607
21,1.3,5.0,0.847
22,1.3,6.0,1.29
23,1.3,7.0,2.26
24,1.4,2.0,0.328
25,1.4,3.0,0.379
26,1.4,4.0,0.468
27,1.4,5.0,0.632
28,1.4,6.0,0.92
29,1.4,7.0,1.53
30,1.5,2.0,0.267
31,1.5,3.0,0.298
32,1.5,4.0,0.365
33,1.5,5.0,0.481
34,1.5,6.0,0.675
35,1.5,7.0,1.05
36,1.6,2.0,0.219
37,1.6,3.0,0.246
38,1.6,4.0,0.293
39,1.6,5.0,0.369
40,1.6,6.0,0.511
41,1.6,7.0,0.749
42,1.7,2.0,0.183
43,1.7,3.0,0.198
44,1.7,4.0,0.232
45,1.7,5.0,0.285
46,1.7,6.0,0.382
47,1.7,7.0,0.549
48,1.8,2.0,0.152
49,1.8,3.0,0.162
50,1.8,4.0,0.189
51,1.8,5.0,0.228
52,1.8,6.0,0.292
53,1.8,7.0,0.404
54,1.9,2.0,0.127
55,1.9,3.0,0.133
56,1.9,4.0,0.152
57,1.9,5.0,0.18
58,1.9,6.0,0.232
59,1.9,7.0,0.301
60,2.0,2.0,0.107
61,2.0,3.0,0.11
62,2.0,4.0,0.125
63,2.0,5.0,0.143
64,2.0,6.0,0.173
65,2.0,7.0,0.229
66,2.1,2.0,0.0909
67,2.1,3.0,0.0915
68,2.1,4.0,0.0994
69,2.1,5.0,0.116
70,2.1,6.0,0.137
71,2.1,7.0,0.17
72,2.2,2.0,0.0777
73,2.2,3.0,0.0759
74,2.2,4.0,0.0842
75,2.2,5.0,0.0924
76,2.2,6.0,0.109
77,2.2,7.0,0.132
78,2.3,2.0,0.0656
79,2.3,3.0,0.0651
80,2.3,4.0,0.0699
81,2.3,5.0,0.0756
82,2.3,6.0,0.0887
83,2.3,7.0,0.105
84,2.4,2.0,0.0572
85,2.4,3.0,0.0549
86,2.4,4.0,0.0563
87,2.4,5.0,0.0604
88,2.4,6.0,0.069
89,2.4,7.0,0.0819
90,2.5,2.0,0.0504
91,2.5,3.0,0.0475
92,2.5,4.0,0.0471
93,2.5,5.0,0.0506
94,2.5,6.0,0.0562
95,2.5,7.0,0.0642
96,2.6,2.0,0.0436
97,2.6,3.0,0.0406
98,2.6,4.0,0.041
99,2.6,5.0,0.0422
100,2.6,6.0,0.0448
101,2.6,7.0,0.0504
102,2.7,2.0,0.0385
103,2.7,3.0,0.0339
104,2.7,4.0,0.0343
105,2.7,5.0,0.0348
106,2.7,6.0,0.037
107,2.7,7.0,0.0407
108,2.8,2.0,0.0336
109,2.8,3.0,0.0299
110,2.8,4.0,0.028
111,2.8,5.0,0.0281
112,2.8,6.0,0.0297
113,2.8,7.0,0.0315
114,2.9,2.0,0.0291
115,2.9,3.0,0.0252
116,2.9,4.0,0.0241
117,2.9,5.0,0.0241
118,2.9,6.0,0.0249
119,2.9,7.0,0.026
120,3.0,2.0,0.0258
121,3.0,3.0,0.0213
122,3.0,4.0,0.0204
123,3.0,5.0,0.0202
124,3.0,6.0,0.0205
125,3.0,7.0,0.0211
